Latitude,Longitude,Month,Day,Year,Total pieces/km^2,Micro,Macro,Total Weight,micro,macro,Source,Info,Mesh Size,Count/km^2 .335-.999 mm,Count/km^2 1.00-4.75 mm,Count/km^2 4.75-200 mm,Count/km^2 >200 mm,total/km^2,g/km^2 .335-.999 mm,g/km^2 1.00-4.75 mm,g/km^2 4.75-200 mm,g/km^2 >200 mm,Sea State (Beaufort Scale),INFO
-12.8234,129.3859,9,7,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5866
-12.8191,129.4002,9,7,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5866
-12.8145,129.4155,9,7,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5866
-12.414,130.1598,9,8,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5866
-12.4086,130.1689,9,8,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5866
-12.4039,130.1783,9,8,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5866
5.6347,83.1362,5,27,2013,1817.53,1817.53,0.00,0.02,0.02,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,817.53",0,0,,"1,817.53",0.02,0,0,,5,Manta 1
6.2427,87.6247,5,29,2013,655.26,655.26,0.00,1.44,1.44,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,436.84,218.42,0,,655.26,0.02,1.42,0,,4,Manta 11
6.1637,86.9385,5,29,2013,480.20,480.20,0.00,0.26,0.26,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,240.1,240.1,0,,480.20,0.02,0.24,0,,4,Manta 9
6.4692,89.3732,5,30,2013,832.88,832.88,0.00,8.64,8.64,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,555.25,277.63,0,,832.88,0.03,8.61,0,,4,Manta 15
6.6318,90.5578,5,31,2013,1162.60,1162.60,0.00,0.32,0.32,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,871.95,290.65,0,,"1,162.60",0.03,0.29,0,,3,Manta 17
6.5455,93.681,6,2,2013,5453.00,5453.00,0.00,0.58,0.58,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"5,112.19",340.81,0,,"5,453.00",0.51,0.07,0,,2,Manta 25
15.7937,159.2056,5,8,2012,1798.64,359.73,1438.91,0.36,0.00,0.36,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,359.73,"1,438.91",,"1,798.64",0,0,0.36,,3,NPG12-SM003
16.4507,158.5566,5,8,2012,387.59,387.59,0.00,3.29,3.29,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,387.59,0,,387.59,0,3.29,0,,4,NPG12-SM004
-34.1697,-73.0895,2,25,2011,406.98,406.98,0.00,0.96,0.96,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,406.98,0,,406.98,0,0.96,0,,2,SO11-M091 TARA
-13.632,144.0713,7,27,2012,956.62,478.31,478.31,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,478.31,478.31,0,956.62,,,,,5,Enterprise/Austral Fisheries Transit
-16.2435,-22.5333,9,4,2010,1844.88,1509.45,335.43,7.80,3.29,4.51,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,006.30",503.15,335.43,,"1,844.88",0.07,3.22,4.51,,4,SAG10-12
-12.2862,141.6233,7,29,2012,1560.26,520.09,1040.17,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,520.09,"1,040.17",0,"1,560.26",,,,,6,Enterprise/Austral Fisheries Transit
-19.8018,115.9652,8,22,2012,2129.41,532.35,1597.06,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,532.35,"1,597.06",0,"2,129.41",,,,,4,Solander/Trip 5597
-18.8687,118.652,8,17,2012,1110.56,555.28,555.28,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,555.28,555.28,0,"1,110.56",,,,,4,Solander/Trip 5597
-21.1987,115.4921,9,2,2013,1112.08,1112.08,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,556.04,556.04,0,0,"1,112.08",,,,,4,Solander/Trip 5866
-21.1906,115.5098,9,2,2013,556.84,556.84,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,556.84,0,0,556.84,,,,,4,Solander/Trip 5866
-18.6584,119.4751,8,17,2012,1114.12,557.06,557.06,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,557.06,557.06,0,"1,114.12",,,,,4,Solander/Trip 5597
-18.9954,118.1656,8,17,2012,1143.96,571.98,571.98,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,571.98,571.98,0,"1,143.96",,,,,3,Solander/Trip 5597
6.4225,88.7502,5,30,2013,867.22,867.22,0.00,0.12,0.12,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,289.07,578.15,0,,867.22,0.03,0.09,0,,4,Manta 13
-18.615,-26.1638,9,3,2010,778.68,778.68,0.00,1.97,1.97,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,194.67,584.01,0,,778.68,0.02,1.95,0,,3,SAG10-9
-15.5085,141.0408,7,30,2012,596.86,596.86,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,596.86,0,0,596.86,,,,,4,Enterprise/Austral Fisheries Transit
-26.0652,-118.5125,4,18,2011,598.99,598.99,0.00,2.99,2.99,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,598.99,0,,598.99,0,2.99,0,,2,SPG11-SM076
-19.4288,115.9437,8,17,2012,599.91,599.91,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,599.91,0,0,599.91,,,,,4,Solander/Trip 5597
-32.9105,-84.4851,3,29,2011,605.65,605.65,0.00,2.73,2.73,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,605.65,0,,605.65,0,2.73,0,,2,SPG11-SM007
-19.1137,117.6992,8,17,2012,612.50,612.50,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,612.5,0,0,612.50,,,,,2,Solander/Trip 5597
-23.212,166.6269,5,7,2012,615.95,615.95,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,615.95,0,0,615.95,,,,,4,Southern Surveyor/ss2012_t02
-13.7461,127.598,9,7,2013,2482.31,1861.73,620.58,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,241.15",620.58,620.58,0,"2,482.31",,,,,2,Solander/Trip 5866
-19.9658,117.0945,9,3,2013,1246.66,1246.66,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,623.33,623.33,0,0,"1,246.66",,,,,3,Solander/Trip 5866
-21.7654,170.6294,5,8,2012,1248.68,624.34,624.34,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,624.34,624.34,0,"1,248.68",,,,,3,Southern Surveyor/ss2012_t02
-19.9363,117.1094,9,3,2013,2506.69,626.67,1880.02,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,626.67,"1,880.02",0,"2,506.69",,,,,3,Solander/Trip 5866
5.7087,83.7122,5,27,2013,2565.56,2565.56,0.00,2.01,2.01,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,924.17",641.39,0,,"2,565.56",0.02,1.99,0,,5,Manta 3
-35.649,155.0695,6,15,2012,652.38,652.38,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,652.38,0,0,652.38,,,,,5,Southern Surveyor/ss2012_t03
5.8953,85.0038,5,28,2013,656.04,656.04,0.00,11.46,11.46,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,656.04,0,,656.04,0,11.46,0,,4,Manta 5
-26.5353,-114.8312,4,16,2011,1104.90,662.94,441.96,2.43,1.77,0.66,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,662.94,441.96,,"1,104.90",0,1.77,0.66,,4,SPG11-SM068
-39.3162,163.5735,6,10,2011,691.85,691.85,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,691.85,0,0,691.85,,,,,5,Southern Surveyor/ss2011_t02
-27.5442,165.1843,6,10,2012,2111.73,703.91,1407.82,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,703.91,"1,407.82",0,"2,111.73",,,,,6,Southern Surveyor/ss2012_t03
