Latitude ,Longitude ,Month,Day,Year,#/km2,Microplastics #/km^2,Macroplastics # /km^2,Total Wieght (g)/km^2,Microplastics Weight (g)/ km^2,Macroplastics Weight (g) /km^2,Source,Notes,Mesh Size,Conc
14.53,-63.27,12,1,1991,0,,,,,,SEA Education,Not adjusted,333um,14.53-63.2712119910SEA EducationNot adjusted333um
14.53,-63.27,12,1,1991,0,,,,,,SEA Education,Not adjusted,333um,14.53-63.2712119910SEA EducationNot adjusted333um
12.35,-64.25,12,1,1991,0,,,,,,SEA Education,Not adjusted,333um,12.35-64.2512119910SEA EducationNot adjusted333um
12.35,-64.25,12,1,1991,0,,,,,,SEA Education,Not adjusted,333um,12.35-64.2512119910SEA EducationNot adjusted333um
13.18,-62.07,12,2,1991,0,,,,,,SEA Education,Not adjusted,333um,13.18-62.0712219910SEA EducationNot adjusted333um
13.18,-62.07,12,2,1991,0,,,,,,SEA Education,Not adjusted,333um,13.18-62.0712219910SEA EducationNot adjusted333um
13.63,-70.97,12,14,1991,0,,,,,,SEA Education,Not adjusted,333um,13.63-70.97121419910SEA EducationNot adjusted333um
13.63,-70.97,12,14,1991,0,,,,,,SEA Education,Not adjusted,333um,13.63-70.97121419910SEA EducationNot adjusted333um
15.1,-73.75,12,15,1991,0,,,,,,SEA Education,Not adjusted,333um,15.1-73.75121519910SEA EducationNot adjusted333um
15.1,-73.75,12,15,1991,0,,,,,,SEA Education,Not adjusted,333um,15.1-73.75121519910SEA EducationNot adjusted333um
16.38,-76.63,12,17,1991,0,,,,,,SEA Education,Not adjusted,333um,16.38-76.63121719910SEA EducationNot adjusted333um
16.38,-76.63,12,17,1991,0,,,,,,SEA Education,Not adjusted,333um,16.38-76.63121719910SEA EducationNot adjusted333um
17.32,-78.5,12,18,1991,0,,,,,,SEA Education,Not adjusted,333um,17.32-78.5121819910SEA EducationNot adjusted333um
17.32,-78.5,12,18,1991,0,,,,,,SEA Education,Not adjusted,333um,17.32-78.5121819910SEA EducationNot adjusted333um
20.98,-68.28,12,19,1991,0,,,,,,SEA Education,Not adjusted,333um,20.98-68.28121919910SEA EducationNot adjusted333um
20.98,-68.28,12,19,1991,0,,,,,,SEA Education,Not adjusted,333um,20.98-68.28121919910SEA EducationNot adjusted333um
16.87,-86.72,12,27,1991,0,,,,,,SEA Education,Not adjusted,333um,16.87-86.72122719910SEA EducationNot adjusted333um
