"","Day","Month","Year","Latitude","Longitude","X..km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Microplastics...km.2","Macroplastics....km.2","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","v10Mps"
"64",15,10,1972,35,-127.802,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",15,10,1972,35,-125.275,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",15,10.5,1976,54.303,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",15,10.5,1976,53.765,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",15,10.5,1976,52.824,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",15,10.5,1976,51.882,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",15,10.5,1976,50.437,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",15,10.5,1976,49.126,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",15,10.5,1976,47.849,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",15,10.5,1976,46.773,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",15,10.5,1976,45.227,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",15,10.5,1976,43.916,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",15,10.5,1976,41.933,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",15,10.5,1976,40.958,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",15,10.5,1976,40.555,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",15,10.5,1976,39.176,-158,0,0,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",15,10.5,1976,38.134,-158,1029.41176470588,14,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",15,10.5,1976,37.126,-158,7426.47058823529,101,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",15,10.5,1976,35.983,-158,18088.2352941176,246,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",15,10.5,1976,34.706,-158,15367.6470588235,209,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
